"1", "next song", 0 0
"1", "skip song", 0 0
"1", "not this song", 0 0 0
"1", "another song", 0 0 
"1", "next song please", 0 0 0
"1", "skip this song", 0 0 0
"1", "skip this", 0 0 0
"2", "previous song", 0 0 0
"2", "last song", 0 0 0
"2", "play that last song", 0 0 0
"2", "can you play that again", 0 0 0
"2", "can you play that song again", 0 0 0
"2", "play that again", 0 0 0
"3", "search google for something", 0 0 0 TERM
"3", 'search for python documentation", 0 0 TERM TERM
"3", "search pokemon", 0 0 TERM
"4", "search youtube for something", 0 0 0 TERM
"4", 'youtube python tutorials", 0 TERM TERM
"4", "youtube music", 0 TERM
